index	committee	date	subject
1	Performance Oversight Hearing: Committee on the Judiciary & Public Safety	Thu, 07 Feb 2019 09:30:00 	
			Criminal Justice Coordinating Council
			Office of Police Complaints
			Metropolitan Police Department
2	Performance Oversight Hearing: Committee on the Judiciary & Public Safety	Thu, 07 Feb 2019 09:30:00 	
			Criminal Justice Coordinating Council
			Office of Police Complaints
			Metropolitan Police Department
3	Performance Oversight Hearing: Committee on Housing & Neighborhood Revitalization	Thu, 07 Feb 2019 10:00:00 	
			Real Estate Commission
			Board of Real Estate Appraisers
			Rental Housing Commission
			Condominium Association Advisory Council
			Housing Finance Agency
			Office of the Tenant Advocate
4	Performance Oversight Hearing: Committee on Government Operations	Thu, 07 Feb 2019 11:00:00 	
			Executive Office of the Mayor
			Office of the Senior Advisor
			Mayor’s Office of Legal Counsel
			Office of the City Administrator
			Secretary of the District of Columbia
			Office of Partnerships and Grants
5	Performance Oversight Hearing: Committee on Health	Fri, 08 Feb 2019 10:00:00 	
			Department of Health
6	Performance Oversight Hearing: Committee on the Judiciary & Public Safety	Fri, 08 Feb 2019 11:00:00 	
			District of Columbia Sentencing Commission
			Criminal Code Reform Commission
			Deputy Mayor for Public Safety and Justice
			Office of Neighborhood Safety and Engagement
7	Government Operations Public Roundtable	Fri, 08 Feb 2019 12:00:00 	
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/PR23-0071">PR23-71</a>, the “Chief Technology Officer Lindsey Parker Confirmation Resolution of 2019” </span>
8	Performance Oversight Hearing: Committee on Recreation & Youth Affairs	Mon, 11 Feb 2019 10:00:00 	
			Deputy Mayor for Greater Economic Opportunity
			Commission on Fathers, Men, and Boys
9	Performance Oversight Hearing: Committee on the Judiciary & Public Safety	Mon, 11 Feb 2019 12:00:00 	
			Fire and Emergency Medical Services Department
			Office of the Attorney General
10	Performance Oversight Hearing: Committee on Health	Tue, 12 Feb 2019 10:00:00 	
			Department of Behavioral Health
11	Performance Oversight Hearing: Committee on Recreation & Youth Affairs	Tue, 12 Feb 2019 10:00:00 	
			Department of Parks and Recreation
12	Performance Oversight Hearing: Committee on Education	Tue, 12 Feb 2019 11:00:00 	
			State Board of Education
			Office of the Ombudsman
			Office of the Student Advocate
13	Committee of the Whole & Education Public Roundtable	Tue, 12 Feb 2019 14:00:00 	
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/PR23-0067">PR23-0067</a>, the “Chancellor of the District of Columbia Public Schools Dr. Lewis D. Ferebee Confirmation Resolution of 2019”</span>
14	Performance Oversight Hearing: Committee on Finance & Revenue	Wed, 13 Feb 2019 10:00:00 	
			Washington Metropolitan Area Transit Authority
15	Performance Oversight Hearing: Committee on Government Operations	Wed, 13 Feb 2019 10:00:00 	
			Office on Women’s Policy and Initiatives
			Office of Veterans’ Affairs
			Office of Lesbian, Gay, Bisexual, Transgender & Questioning Affairs
16	Performance Oversight Hearing: Committee on Business & Economic Development	Wed, 13 Feb 2019 10:00:00 	
			Department of Small and Local Business Development
			Department of Insurance, Securities and Banking
			Department of For-Hire Vehicles
			For-Hire Vehicle Advisory Council
17	Performance Oversight Hearing: Committee on Housing & Neighborhood Revitalization	Thu, 14 Feb 2019 09:30:00 	
			District of Columbia Office on Aging
			Commission on Aging
			Age Friendly DC Task Force
18	Performance Oversight Hearing: Committee on Labor & Workforce Development	Thu, 14 Feb 2019 10:00:00 	
			Office of Employee Appeals
			Public Employees Relations Board
19	Performance Oversight Hearing: Committee on Government Operations	Thu, 14 Feb 2019 10:00:00 	
			Office on African Affairs
			Office of African American Affairs
			Office of Asian and Pacific Islander Affairs
			Office of Latino Affairs
20	Performance Oversight Hearing: Committee on Transportation & the Environment	Thu, 14 Feb 2019 11:00:00 	
			Commission on Climate Change and Resiliency
			Department of Energy and the Environment
21	Performance Oversight Hearing: Committee on the Judiciary & Public Safety	Fri, 15 Feb 2019 09:30:00 	
			Judicial Nomination Commission
			Commission on Judicial Disabilities and Tenure
			District of Columbia National Guard
			Homeland Security and Emergency Management Agency
1	Performance Oversight Hearing: Committee on Education & Committee of the Whole	Fri, 15 Feb 2019 10:00:00 	
			Deputy Mayor for Education
			District of Columbia Public Charter School Board
2	Performance Oversight Hearing: Committee on Education & Committee of the Whole	Fri, 15 Feb 2019 10:00:00 	
			Deputy Mayor for Education
			District of Columbia Public Charter School Board
3	Performance Oversight Hearing: Committee on Transportation & the Environment	Fri, 15 Feb 2019 11:00:00 	
			Food Policy Council
			Department of Public Works
4	Transportation & the Environment Public Roundtable	Fri, 15 Feb 2019 11:00:00 	
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/PR23-0060">PR23-60</a>, the Food Policy Director Ona Balkus Confirmation Resolution of 2018</span>
5	Committee of the Whole Meeting	Tue, 19 Feb 2019 10:00:00 	
			NoneType
6	Performance Oversight Hearing: Committee on Recreation & Youth Affairs	Tue, 19 Feb 2019 13:00:00 	
			Department of Youth Rehabilitation Services
			Juvenile Abscondence
7	Performance Oversight Hearing: Committee on the Judiciary & Public Safety	Tue, 19 Feb 2019 13:00:00 	
			Board of Elections
			Office of Campaign Finance
			Board of Ethics and Government Accountability
8	Performance Oversight Hearing: Committee on Health	Tue, 19 Feb 2019 13:30:00 	
			District of Columbia Health Benefit Exchange Authority
9	Performance Oversight Hearing: Committee on Facilities & Procurement	Wed, 20 Feb 2019 10:00:00 	
			Office of Advisory Neighborhood Commission
10	Performance Oversight Hearing: Committee on Labor & Workforce Development	Wed, 20 Feb 2019 10:00:00 	
			Office of Human Resources
			Office of Labor Relations and Collective Bargaining
11	Performance Oversight Hearing: Committee on Business & Economic Development	Wed, 20 Feb 2019 10:00:00 	
			Public Service Commission
			Office of the People’s Counsel
			Office of Cable Television, Film, Music and Entertainment
			Alcoholic Beverage Regulation Administration
12	Performance Oversight Hearing: Committee on Human Services	Thu, 21 Feb 2019 10:00:00 	
			Department of Disability Services
			Office of Disability Rights
13	Performance Oversight Hearing: Committee on Education & Committee of the Whole	Thu, 21 Feb 2019 10:00:00 	
			Office of the State Superintendent
14	Performance Oversight Hearing: Committee on Facilities & Procurement	Thu, 21 Feb 2019 10:00:00 	
			Office of Returning Citizen Affairs
			Commission on Re-Entry and Returning Citizen Affairs
15	Performance Oversight Hearing: Committee on Government Operations	Thu, 21 Feb 2019 11:00:00 	
			Office of Nightlife and Culture
			Office of Public-Private Partnerships
			Serve DC
16	Finance & Revenue Public Roundtable	Fri, 22 Feb 2019 09:30:00 	
			<span style="font-size: 11.0pt; font-family: Times;"><a href="http://lims.dccouncil.us/Legislation/PR23-0074">PR23-74</a>, the “Commission on the Arts and Humanities Derek Younger Confirmation Resolution of 2019”</span>
17	Performance Oversight Hearing: Committee on Finance & Revenue	Fri, 22 Feb 2019 10:00:00 	
			Commission on the Arts and Humanities
18	Performance Oversight Hearing: Committee on Housing & Neighborhood Revitalization	Fri, 22 Feb 2019 15:00:00 	
			District of Columbia Housing Authority
19	Performance Oversight Hearing: Committee on Finance & Revenue	Mon, 25 Feb 2019 10:00:00 	
			Real Property Tax Appeals Commission
			DC Lottery
			Office of the Chief Financial Officer
20	Performance Oversight Hearing: Committee of the Whole	Mon, 25 Feb 2019 10:30:00 	
			Metropolitan Washington Council of Governments
			New Columbia Statehood Commission
			Metropolitan Washington Airports Authority
			District of Columbia Auditor
			Office of Budget and Planning
			District Retiree Health Contribution
			District of Columbia Retirement Board/Funds
21	Performance Oversight Hearing: Committee on Transportation & the Environment	Mon, 25 Feb 2019 11:00:00 	
			Bicycle Advisory Council
			Pedestrian Advisory Council
			District Department of Transportation
1	Performance Oversight Hearing: Committee on Education	Mon, 25 Feb 2019 11:30:00 	
			District of Columbia Public Library
2	Performance Oversight Hearing: Committee on Education	Mon, 25 Feb 2019 11:30:00 	
			District of Columbia Public Library
3	Performance Oversight Hearing: Committee on Housing & Neighborhood Revitalization	Tue, 26 Feb 2019 11:00:00 	
			Department of Housing and Community Development (Public Witnesses Only)
			Housing Production Trust Fund (Public Witnesses Only)
4	Performance Oversight Hearing: Committee on Human Services	Tue, 26 Feb 2019 11:00:00 	
			Child and Family Services Agency
5	Performance Oversight Hearing: Committee on Transportation & the Environment	Tue, 26 Feb 2019 11:00:00 	
			DC Water
			Washington Aqueduct
6	Performance Oversight Hearing: Committee on Education & Committee of the Whole	Tue, 26 Feb 2019 12:00:00 	
			District of Columbia Public Schools
7	Performance Oversight Hearing: Committee on Business & Economic Development	Wed, 27 Feb 2019 10:00:00 	
			Deputy Mayor for Planning and Economic Development
8	Performance Oversight Hearing: Committee of the Whole	Wed, 27 Feb 2019 10:00:00 	
			Department of Consumer and Regulatory Affairs
9	Performance Oversight Hearing: Committee on Labor & Workforce Development	Wed, 27 Feb 2019 10:00:00 	
			Department of Employment Services (Public Witnesses Only)
			Workforce Investment Council (Public Witnesses Only)
10	Performance Oversight Hearing: Committee on Facilities & Procurement	Wed, 27 Feb 2019 10:00:00 	
			Office of Contracting and Procurement
			Contract Appeals Board
11	Performance Oversight Hearing: Committee of the Whole	Thu, 28 Feb 2019 10:00:00 	
			University of the District of Columbia
			Office of Zoning
			Office of Planning
12	Performance Oversight Hearing: Committee on Facilities & Procurement	Thu, 28 Feb 2019 10:00:00 	
			Department of General Services
13	Performance Oversight Hearing: Committee on Government Operations	Thu, 28 Feb 2019 10:00:00 	
			Office of Administrative Hearings
			Office of the Inspector General
			Office of the Chief Technology Officer
			Office of Human Rights
			Office of Risk Management
14	Performance Oversight Hearing: Committee on Transportation & the Environment	Thu, 28 Feb 2019 11:00:00 	
			Department of Motor Vehicles
15	Performance Oversight Hearing: Committee on Finance & Revenue	Fri, 01 Mar 2019 09:30:00 	
			Events DC
			Destination DC
16	Performance Oversight Hearing: Committee on Labor & Workforce Development	Fri, 01 Mar 2019 10:00:00 	
			Department of Employment Services (Government Witnesses Only)
			Workforce Investment Council (Government Witnesses Only)
17	Performance Oversight Hearing: Committee on Human Services & Committee on Housing & Neighborhood Revitalization	Fri, 01 Mar 2019 10:00:00 	
			Department of Human Services
			Interagency Council on Homelessness
18	Performance Oversight Hearing: Committee on Housing & Neighborhood Revitalization	Fri, 01 Mar 2019 12:00:00 	
			Department of Housing and Community Development (Government Witnesses Only)
			Housing Production Trust Fund (Government Witnesses Only)
19	Performance Oversight Hearing: Committee on the Judiciary & Public Safety	Fri, 01 Mar 2019 13:00:00 	
			Department of Forensic Sciences
			Department of Corrections
			Corrections Information Council
20	Legislative Meeting	Tue, 05 Mar 2019 10:00:00 	
			NoneType
21	Committee of the Whole & Education Public Roundtable	Wed, 06 Mar 2019 10:00:00 	
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/PR22-0069">PR23-0069</a>, the “State Superintendent of Education Hanseul Kang Confirmation Resolution of 2019”</span>
1	Committee of the Whole Meeting	Tue, 19 Mar 2019 10:00:00 	
			<a class="button-text-link text--large" href="http://dccouncil.us/events/list/?tribe_event_display=list&amp;tribe_paged=3"> ‹ Past Events </a>
2	Committee of the Whole Meeting	Tue, 19 Mar 2019 10:00:00 	
			NoneType
3	Legislative Meeting	Tue, 02 Apr 2019 10:00:00 	
			NoneType
4	Committee of the Whole Meeting	Tue, 23 Apr 2019 10:00:00 	
			NoneType
5	Legislative Meeting	Tue, 07 May 2019 10:00:00 	
			NoneType
6	Committee of the Whole Meeting	Tue, 21 May 2019 10:00:00 	
			NoneType
7	Legislative Meeting	Tue, 04 Jun 2019 10:00:00 	
			NoneType
8	Committee of the Whole Meeting	Tue, 18 Jun 2019 10:00:00 	
			NoneType
9	Legislative Meeting	Tue, 25 Jun 2019 10:00:00 	
			NoneType
10	Committee of the Whole Meeting	Tue, 09 Jul 2019 08:00:00 	
			NoneType
11	Legislative Meeting	Tue, 09 Jul 2019 10:00:00 	
			NoneType
12	Legislative Meeting	Tue, 17 Sep 2019 10:00:00 	
			NoneType
13	Committee of the Whole Meeting	Tue, 17 Sep 2019 10:00:00 	
			NoneType
14	Legislative Meeting	Tue, 08 Oct 2019 10:00:00 	
			NoneType
15	Committee of the Whole Meeting	Tue, 22 Oct 2019 10:00:00 	
			NoneType
16	Legislative Meeting	Tue, 05 Nov 2019 10:00:00 	
			NoneType
17	Committee of the Whole Meeting	Tue, 19 Nov 2019 10:00:00 	
			NoneType
18	Legislative Meeting	Tue, 03 Dec 2019 10:00:00 	
			NoneType
19	Committee of the Whole Meeting	Tue, 17 Dec 2019 10:00:00 	
			NoneType
