index	committee	date	subject
1	Judiciary & Public Safety Public Hearing	Thu, 13 Jun 2019 09:30:00 	
			“Expanding the Franchise: Strategies for Increasing Voter Registration and Turnout,”
			http://lims.dccouncil.us/Legislation/B23-0031
			 – the “Paid Leave to Vote Amendment Act of 2019,”
			http://lims.dccouncil.us/Legislation/B23-0126
			 – the “Improving Voter Registration for New Tenants and Homeowners Amendment Act of 2019,”
			http://lims.dccouncil.us/Legislation/B23-0165
			 – the “Initiative and Referendum Process Improvement Amendment Act of 2019.”
2	Judiciary & Public Safety Public Hearing	Thu, 13 Jun 2019 09:30:00 	
			“Expanding the Franchise: Strategies for Increasing Voter Registration and Turnout,”
			http://lims.dccouncil.us/Legislation/B23-0031
			 – the “Paid Leave to Vote Amendment Act of 2019,”
			http://lims.dccouncil.us/Legislation/B23-0126
			 – the “Improving Voter Registration for New Tenants and Homeowners Amendment Act of 2019,”
			http://lims.dccouncil.us/Legislation/B23-0165
			 – the “Initiative and Referendum Process Improvement Amendment Act of 2019.”
3	Health and Human Services Public Hearing	Thu, 13 Jun 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0214
			, the “Direct Support Professional Payment Rate Act of 2019”
4	Facilities & Procurement Public Roundtable	Thu, 13 Jun 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/PR23-0249
			 – “Contract Appeals Board Nicholas Majett Confirmation Resolution of 2019”
5	Health Public Hearing	Thu, 13 Jun 2019 11:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0178
			, “Interagency Council on Behavioral Health Establishment Amendment Act of 2019”
			http://lims.dccouncil.us/Legislation/PR23-0317
			, “Director of the Department of Behavioral Heath Barbara Baron Confirmation Resolution of 2019,”
6	Housing & Neighborhood Revitalization Public Hearing	Mon, 17 Jun 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0048
			 – “Housing Conversion and Eviction Clarification Amendment Act of 2019” and
			http://lims.dccouncil.us/Legislation/B23-0123
			 – “Housing Production Trust Fund Transparency Amendment Act of 2019”
7	Committee of the Whole Meeting	Tue, 18 Jun 2019 10:00:00 	
			NoneType
8	Labor & Workforce Development Public Hearing	Wed, 19 Jun 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0092
			<p class="p3"><span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;">Improving Work Conditions for Retail and Grocery Workers</span></p>
9	Facilities & Procurement Public Oversight Roundtable	Wed, 19 Jun 2019 10:00:00 	
			Contracting and Procurement Practices at the Department of General Services and the Office of Contracting and Procurement
